Date,Price,Open,High,Low,Change %
2007/12/28,7.3041,7.3145,7.3165,7.3032,-0.19%
2007/12/31,7.3041,7.3041,7.3041,7.3041,0.00%
2008/1/1,7.3041,7.3041,7.3041,7.3041,0.00%
2008/1/2,7.2938,7.2964,7.3029,7.2904,-0.14%
2008/1/3,7.2729,7.2934,7.2934,7.2709,-0.29%
2008/1/4,7.273,7.2725,7.2779,7.2698,0.00%
2008/1/7,7.2694,7.2639,7.2703,7.2619,-0.05%
2008/1/8,7.2647,7.2679,7.279,7.2624,-0.06%
2008/1/9,7.2636,7.2646,7.2661,7.2616,-0.02%
2008/1/10,7.2714,7.2614,7.2754,7.2614,0.11%
2008/1/11,7.2625,7.266,7.2667,7.2595,-0.12%
2008/1/14,7.2515,7.2605,7.2631,7.2515,-0.15%
2008/1/15,7.2421,7.2514,7.2514,7.2404,-0.13%
2008/1/16,7.2324,7.2405,7.2445,7.2305,-0.13%
2008/1/17,7.2486,7.2314,7.2537,7.2314,0.22%
2008/1/18,7.2423,7.2462,7.2538,7.2412,-0.09%
2008/1/21,7.241,7.243,7.2505,7.2355,-0.02%
2008/1/22,7.2392,7.2465,7.2465,7.2325,-0.02%
2008/1/23,7.2322,7.2344,7.2383,7.2289,-0.10%
