,RSI,KD,MA,MACD,Strength,Trend
584,0,1,-1,-1,1,-2
585,0,1,-1,-1,1,-2
586,-1,1,-1,2,0,1
587,0,-2,2,-2,-2,0
588,1,-1,1,-1,0,0
589,0,-1,1,-1,-1,0
590,0,-1,1,-1,-1,0
591,1,-1,1,-1,0,0
592,0,-1,1,-1,-1,0
593,0,-1,-2,-1,-1,-3
594,0,-1,-1,-1,-1,-2
595,0,-1,-1,-1,-1,-2
596,-2,2,-1,2,0,1
597,-1,1,-1,1,0,0
598,-2,1,-1,1,-1,0
599,0,1,-1,1,1,0
600,0,-2,2,-2,-2,0
601,0,-1,1,-1,-1,0
602,0,-1,1,-1,-1,0
603,0,-1,-2,-1,-1,-3
604,0,2,-1,2,2,1
605,0,1,-1,1,1,0
606,-2,-2,-1,1,-4,0
607,-1,-1,-1,1,-2,0
608,-2,-1,-1,1,-3,0
609,-2,-1,2,1,-3,3
610,-2,-1,-2,1,-3,-1
611,0,2,2,1,2,3
612,1,1,1,1,2,2
613,0,1,-2,1,1,-1
614,0,1,-1,1,1,0
615,0,1,-1,1,1,0
616,0,1,-1,1,1,0
617,0,1,2,1,1,3
618,-2,-2,-2,1,-4,-1
619,-2,-1,-1,1,-3,0
620,0,-1,-1,1,-1,0
621,-1,2,-1,1,1,0
622,-1,1,-1,1,0,0
623,-2,1,-1,1,-1,0
624,-2,1,-1,1,-1,0
625,-2,1,-1,1,-1,0
626,-2,1,-1,1,-1,0
627,-2,1,-1,1,-1,0
628,0,1,2,1,1,3
629,-1,1,-2,1,0,-1
630,0,1,-1,1,1,0
631,-1,1,-1,1,0,0
632,0,1,-1,1,1,0
633,0,1,2,1,1,3
634,0,1,1,-2,1,-1
635,2,1,1,-1,3,0
636,2,1,1,-1,3,0
637,2,1,-2,-1,3,-3
638,1,1,-1,-1,2,-2
639,0,-2,-1,-1,-2,-2
640,0,-1,-1,-1,-1,-2
641,-1,2,-1,-1,1,-2
642,-2,-2,-1,-1,-4,-2
643,-2,-1,-1,-1,-3,-2
644,0,2,2,-1,2,1
645,1,1,1,-1,2,0
646,2,1,1,-1,3,0
647,2,-2,1,-1,0,0
648,2,-1,1,-1,1,0
649,1,-1,-2,-1,0,-3
650,1,-1,-1,-1,0,-2
651,0,-1,-1,-1,-1,-2
652,0,-1,2,-1,-1,1
653,0,2,1,-1,2,0
654,0,-2,1,-1,-2,0
655,0,-1,-2,-1,-1,-3
656,0,-1,-1,-1,-1,-2
657,-1,2,-1,-1,1,-2
658,-2,-2,-1,2,-4,1
659,-2,-1,-1,1,-3,0
660,0,-1,2,1,-1,3
661,0,2,1,1,2,2
662,0,1,1,1,1,2
663,2,1,1,1,3,2
664,1,1,-2,1,2,-1
665,1,1,-1,1,2,0
666,1,1,2,-2,2,0
667,0,1,-2,2,1,0
668,0,-2,-1,1,-2,0
669,0,-1,-1,1,-1,0
670,0,-1,-1,1,-1,0
671,0,-1,-1,1,-1,0
672,-2,-1,-1,1,-3,0
673,-2,-1,-1,1,-3,0
674,-1,-1,2,1,-2,3
675,-2,2,-2,1,0,-1
676,-2,-2,-1,1,-4,0
677,-2,-1,-1,1,-3,0
678,-2,-1,-1,1,-3,0
679,-1,2,-1,1,1,0
680,-1,1,2,1,0,3
681,0,1,1,1,1,2
682,0,1,1,1,1,2
683,0,1,-2,1,1,-1
684,2,1,2,1,3,3
685,0,1,-2,1,1,-1
686,0,1,2,-2,1,0
687,0,1,1,-1,1,0
688,0,1,-2,-1,1,-3
689,0,-2,2,-1,-2,1
690,0,-1,-2,-1,-1,-3
691,0,-1,-1,-1,-1,-2
692,-2,-1,-1,-1,-3,-2
693,0,-1,-1,-1,-1,-2
694,0,-1,-1,-1,-1,-2
695,0,-1,-1,-1,-1,-2
696,0,-1,2,-1,-1,1
697,0,-1,1,-1,-1,0
698,0,-1,-2,-1,-1,-3
699,0,-1,-1,-1,-1,-2
700,1,-1,2,-1,0,1
701,1,2,1,-1,3,0
702,1,1,1,-1,2,0
703,1,1,1,-1,2,0
704,2,1,1,-1,3,0
705,2,1,1,-1,3,0
706,2,1,1,-1,3,0
707,2,-2,1,-1,0,0
708,2,-1,1,-1,1,0
709,2,-1,1,-1,1,0
710,2,-1,-2,-1,1,-3
711,0,-1,-1,-1,-1,-2
712,-1,-1,-1,-1,-2,-2
713,-1,-1,-1,-1,-2,-2
714,-2,2,-1,-1,0,-2
715,-1,-2,-1,-1,-3,-2
716,-1,-1,-1,2,-2,1
717,0,-1,-1,1,-1,0
718,-1,-1,-1,1,-2,0
719,-2,2,-1,1,0,0
720,0,1,2,1,1,3
721,0,-2,1,1,-2,2
722,1,-1,1,1,0,2
723,1,-1,1,-2,0,-1
724,2,2,1,-1,4,0
725,2,1,1,-1,3,0
726,2,1,1,-1,3,0
727,2,1,1,-1,3,0
728,2,1,1,-1,3,0
729,2,1,1,-1,3,0
730,1,1,-2,-1,2,-3
731,1,1,2,-1,2,1
732,1,1,1,-1,2,0
733,1,1,1,-1,2,0
734,0,1,1,-1,1,0
735,0,-2,-2,-1,-2,-3
736,0,-1,-1,-1,-1,-2
737,0,-1,2,2,-1,4
738,0,-1,1,1,-1,2
739,0,-1,1,1,-1,2
740,2,-1,1,-2,1,-1
741,0,2,1,-1,2,0
742,1,1,1,-1,2,0
743,1,1,1,-1,2,0
744,1,1,1,-1,2,0
745,0,1,1,2,1,3
746,0,1,1,-2,1,-1
747,1,-2,-2,2,-1,0
748,0,2,-1,1,2,0
749,0,-2,-1,1,-2,0
750,-1,-1,-1,1,-2,0
751,-1,-1,-1,1,-2,0
752,-2,-1,-1,1,-3,0
753,-2,-1,-1,1,-3,0
754,-2,-1,-1,1,-3,0
755,-1,-1,-1,1,-2,0
756,0,2,-1,1,2,0
757,-2,1,-1,1,-1,0
